species_common_name,species_code,scientific_name
Japanese Sparrowhawk,japspa1,Tachyspiza gularis
Japanese Squirrel,SCILIS,Sciurus lis
Japanese Thrush,japthr1,Turdus cardis
Japanese Wagtail,japwag1,Motacilla grandis
Japanese Waxwing,japwax1,Bombycilla japonica
Javan Black-capped Babbler,bkcbab2,Pellorneum capistratum
Javan Bush Warbler,jabwar1,Locustella montis
Javan Deer,RUSTIM,Rusa timorensis
Javan Fulvetta,javful1,Alcippe pyrrhoptera
Javan Leafbird,buwlea2,Chloropsis cochinchinensis
Javan Munia,LONLEU,Lonchura leucogastroides
Javan Myna,ACRJAV,Acridotheres javanicus
Javan Oriole,bacori3,Oriolus cruentus
Javan Owlet,javowl1,Glaucidium castanopterum
Javan Plover,CHAJAV,Charadrius javanicus
Javan Pond Heron,ARDSPE,Ardeola speciosa
Javan Scimitar Babbler,chbscb1,Pomatorhinus montanus
Javan Shortwing,whbsho10,Brachypteryx montana
Javan Tesia,javtes1,Tesia superciliaris
Java Sparrow,JASP,Lonchura oryzivora
Javelina,JAVELINA,Pecari tajacu
Jelski's Chat-Tyrant,jelcht1,Silvicultrix jelskii
Jentink's Duiker,CEPJEN,Cephalophus jentinki
Jerdon's Babbler,jerbab1,Chrysomma altirostre
Jerdon's Baza,AVIJER,Aviceda jerdoni
Jerdon's Bush Lark,jerbus2,Plocealauda affinis
Jerdon's Leafbird,jerlea1,Chloropsis jerdoni
Jerdon's Nightjar,jernig1,Caprimulgus atripennis
Jet Antbird,JEAN,Cercomacra nigricans
Jico Deer Mouse,HABSIM,Habromys simulatus
Jocotoco Antpitta,jocant1,Grallaria ridgelyi
Johannes's Tody-Tyrant,jottyr1,Hemitriccus iohannis
Jouanin's Petrel,JOPE,Bulweria fallax
Joyful Greenbul,CHLLAE,Chlorocichla laetissima
Juan Fernández Fur Seal,ARCPHI,Arctocephalus philippii
Juan Fernandez Petrel,JFPE,Pterodroma externa
Jumping Bush Cricket,OROSAL,Orocharis saltator
Jungle Babbler,ARGSTR,Argya striata
Jungle Bush Quail,jubqua1,Perdicula asiatica
Jungle Myna,junmyn1,Acridotheres fuscus
Jungle Owlet,junowl1,Glaucidium radiatum
Jungle Prinia,junpri1,Prinia sylvatica
Junin Canastero,juncan1,Asthenes virgata
Junín Red Squirrel,SCIPYR,Sciurus pyrrhinus
Junin Slender Opossum,MARJUN,Marmosops juninensis
Juniper Titmouse,JUTI,Baeolophus ridgwayi
Kaempfer's Woodpecker,caawoo1,Celeus obrieni
Kagu,kagu1,Rhynochetos jubatus
Kakawahie,KAKA,Paroreomyza flammea
Kalahari Scrub Robin,kasrob1,Cercotrichas paena
Kalij Pheasant,KAPH,Lophura leucomelanos
Kalinago Wren,KAWR,Troglodytes martinicensis
Kalinowski Agouti,DASKAL,Dasyprocta kalinowskii
Kalinowski's Mouse Opossum,HYLKAL,Hyladelphys kalinowskii
Kamao,KAMA,Myadestes myadestinus
Kamchatcka Shrew,SORCAM,Sorex camtschatica
Kamchatka Leaf Warbler,KLWA,Phylloscopus examinandus
Kangaroo Rat,164,
Kangaroo rat/pocket mouse,KANPOC,
Kansas Bog Lemming,SYNCOO,Synaptomys cooperi
Karimi's Fat-tailed Mouse Opossum,THYKAR,Thylamys karimii
Karoo Eremomela,yerere1,Eremomela gregalis
Karoo Korhaan,karbus1,Heterotetrax vigorsii
Karoo Lark,karlar2,Calendulauda albescens
Karoo Long-billed Lark,klblar6,Certhilauda subcoronata
Karoo Prinia,karpri1,Prinia maculosa
Karoo Scrub Robin,kasrob2,Tychaedon coryphoeus
Karoo Thrush,karthr1,Turdus smithi
Kashmir Flycatcher,FICSUB,Ficedula subrubra
Kashmir Shrew,SORPLA,Sorex planiceps
Kauai Akialoa,KAAK,Akialoa stejnegeri
Kauai Amakihi,KAAM,Chlorodrepanis stejnegeri
Kauai Elepaio,KAEL,Chasiempis sclateri
Kauai Nukupuu,KANU,Hemignathus hanapepe
Kauai Oo,KAOO,Moho braccatus
Kawall's Amazon,kawpar1,Amazona kawalli
Kazakhstan Vole,MICILA,Microtus ilaeus
Keel-billed Motmot,KBMO,Electron carinatum
Keel-billed Toucan,KBTO,Ramphastos sulfuratus
Keen's Myotis,MYOKEE,Myotis keenii
Kelp Gull,KEGU,Larus dominicanus
Kemp's Longbill,kemlon1,Macrosphenus kempi
Kentish Plover,CHAALE,Charadrius alexandrinus
Kentucky Warbler,KEWA,Geothlypis formosa
Kenya Sparrow,kerspa2,Passer rufocinctus
Kermadec Petrel,KEPE,Pterodroma neglecta
Kermode Bear,114,Ursus americanus kermodei
Key West Quail-Dove,KWQD,Geotrygon chrysia
Kiang,EQUKIA,Equus kiang
Kikau,weswah1,Foulehaio procerior
Kilimanjaro White-eye,ZOSEUR,Zosterops eurycricotus
Killdeer,KILL,Charadrius vociferus
Killer Whale,ORCORC,Orcinus orca
King Bird-of-paradise,kbopar1,Cicinnurus regius
King Eider,KIEI,Somateria spectabilis
Kinglet Manakin,strman2,Machaeropterus regulus
King of Saxony Bird-of-paradise,kospar1,Pteridophora alberti
King Penguin,kinpen1,Aptenodytes patagonicus
King Quail,blbqua1,Synoicus chinensis
King Rail,KIRA,Rallus elegans
King Vulture,KIVU,Sarcoramphus papa
Kinkajou,PFLA,Potos flavus
Kioea,KIOE,Chaetoptila angustipluma
Kirchner's VIscacha Rat,TYMKIR,Tympanoctomys kirchnerorum
Kirk's Dik-dik,MADKIR,Madoqua kirkii
Kirtland's Warbler,KIWA,Setophaga kirtlandii
Kit Fox,VULMAC,Vulpes macrotis
Kittlitz's Murrelet,KIMU,Brachyramphus brevirostris
Klaas's Cuckoo,klacuc1,Chrysococcyx klaas
Klages's Antbird,klaant2,Drymophila klagesi
Klages's Antwren,klaant1,Myrmotherula klagesi
Klipspringer,OREORE,Oreotragus oreotragus
Kloss's Leaf Warbler,klolew1,Phylloscopus ogilviegranti
Knobbed Hornbill,knohor1,Rhyticeros cassidix
Knox Jones's Pocket Gopher,GEOKNO,Geomys knoxjonesi
Knysna Turaco,knytur1,Tauraco corythaix
Knysna Warbler,knswar1,Bradypterus sylvaticus
Kob,KOBKOB,Kobus kob
Kobus Species,KOBNUL,
Koepcke's Screech Owl,koesco1,Megascops koepckeae
Koklass Pheasant,kokphe1,Pucrasia macrolopha
Kona Grosbeak,KOGR,Chloridops kona
Koopman's Porcupine,COENYC,Coendou nycthemera
Kopetdag Pine Vole,MICPAR,Microtus paradoxus
Korean Hare,3901,Lepus coreanus
Kouprey,BOSSAU,Bos sauveli
Kozlov's Shrew,SORKOZ,Sorex kozlovi
Kruper's Nuthatch,SITKRU,Sitta krueperi
Kumlien's Gull,LARGLA,Larus glaucoides kumlieni
Kurrichane Thrush,kurthr1,Turdus libonyana
Labrador Duck,LABD,Camptorhynchus labradorius
Laced Woodpecker,lacwoo1,Picus vittatus
Lace Monitor,VARVAR,Varanus varius
Lacertilia Suborder,4479,
Lacrimose Mountain Tanager,lamtan1,Anisognathus lacrymosus
Lacustrine Vole,MICLIM,Microtus limnophilus
Ladder-backed Woodpecker,LBWO,Picoides scalaris
Ladder-tailed Nightjar,latnig1,Hydropsalis climacocerca
Lady Amherst's Pheasant,CHRAMH,Chrysolophus amherstiae
Lafresnaye's Piculet,lafpic1,Picumnus lafresnayi
Lagenodelphis Species,4178,
Lagenorhynchus Species,4185,
Lake Duck,OXYVIT,Oxyura vittata
Lama Species,4187,
Lampropeltis Species,4464,
Lanai Hookbill,LANH,Dysmorodrepanis munroi
Lanceolated Monklet,LAMO,Micromonacha lanceolata
Lanceolated Warbler,LANW,Locustella lanceolata
Lance-tailed Manakin,LATM,Chiroxiphia lanceolata
Land Mullet,BELMAJ,Bellatorias major
Lanner Falcon,FALBIA,Falco biarmicus
Lapland Longspur,LALO,Calcarius lapponicus
Large-antlered Muntjac,MUNVUQ,Muntiacus vuquangensis
Large-billed Antwren,labant1,Herpsilochmus longirostris
Large-billed Crow,labcro,Corvus macrorhynchos
Large-billed Gerygone,labger1,Gerygone magnirostris
Large-billed Lark,lablar1,Galerida magnirostris
Large-billed Leaf Warbler,lblwar1,Phylloscopus magnirostris
Large-billed Scrubwren,labscr2,Sericornis magnirostra
Large-billed Seed-Finch,LBSF,Sporophila crassirostris
Large-billed Sparrow,LBSP,Passerculus sandwichensis rostratus
Large-billed Tern,LBTE,Phaetusa simplex
Large-eared Grey Shrew,NOTEVO,Notiosorex evotis
Large-eared Hutia,MESAUR,Mesocapromys auritus
Large Elaenia,larela1,Elaenia spectabilis
Large-footed Finch,LFFI,Pezopetes capitalis
Large-footed Tapaculo,SCYMAC,Scytalopus macropus
Large Frogmouth,larfro1,Batrachostomus auritus
Large Grey Babbler,ARGMAL,Argya malcolmi
Large Hawk-Cuckoo,larhac2,Hierococcyx sparverioides
Large-headed Flatbill,lahfla2,Ramphotrigon megacephalum
Large-headed Rice Rat,HYLLAT,Hylaeamys laticeps
Large Niltava,larnil1,Niltava grandis
Large Rock Martin,rocmar5,Ptyonoprogne fuligula
Large Scimitar-Babbler,ERYHYP,Erythrogenys hypoleucos
Large-tailed Antshrike,latant1,Mackenziaena leachii
Large-tailed Nightjar,latnig2,Caprimulgus macrurus
Large-toothed Shrew,SORMAC,Sorex macrodon
Large-toothed Siberian Shrew,SORDAP,Sorex daphaenodon
Large Woodshrike,larwoo1,Tephrodornis virgatus
Large Wren-Babbler,lawbab1,Turdinus macrodactylus
Lark Bunting,LARB,Calamospiza melanocorys
Lark-like Brushrunner,lalbru1,Coryphistera alaudina
Lark-like Bunting,lalbun1,Emberiza impetuani
Lark Sparrow,LASP,Chondestes grammacus
La Sagra's Flycatcher,LSFL,Myiarchus sagrae
La Selle Thrush,LSTH,Turdus swalesi
Latham's Snipe,latsni1,Gallinago hardwickii
Lattice-tailed Trogon,LTTR,Trogon clathratus
Laughing Dove,laudov1,Spilopelia senegalensis
Laughing Falcon,LAFA,Herpetotheres cachinnans
Laughing Gull,LAGU,Leucophaeus atricilla
Laughing Kookaburra,laukoo1,Dacelo novaeguineae
Laurel Pigeon,COLJUN,Columba junoniae
Lavender Waxbill,LAVW,Estrilda caerulescens
Lawrence's Goldfinch,LAGO,Spinus lawrencei
Lawrence's Thrush,lawthr1,Turdus lawrencii
Lawrence's Warbler (Golden-winged x Blue-winged Hybrid),LAWA,Vermivora cyanoptera x chrysoptera
Laxmann's Shrew,SORCAE,Sorex caecutiens
Layard's Parakeet,PSICAL,Psittacula calthrapae
Laysan Albatross,LAAL,Phoebastria immutabilis
Laysan Duck,LAYD,Anas laysanensis
Laysan Finch,LAFI,Telespiza cantans
Laysan Honeycreeper,LAYH,Himatione fraithii
Laysan Rail,LARA,Zapornia palmeri
Lazuli Bunting,LAZB,Passerina amoena
Lazuline Sabrewing,lazsab1,Campylopterus falcatus
Lazuli x Indigo Bunting Hybrid,LIBH,Passerina cyanea x amoena
Leach's Storm-Petrel,LESP,Hydrobates leucorhous
Leaden Antwren,leaant1,Myrmotherula assimilis
Leaden Flycatcher,leafly2,Myiagra rubecula
Leaf Muntjac,MUNPUT,Muntiacus putaoensis
Lear's Macaw,indmac1,Anodorhynchus leari
Least Auklet,LEAU,Aethia pusilla
Least Bell's Vireo,LBVI,Vireo bellii pusillus
Least Bittern,LEBI,Botaurus exilis
Least Chipmunk,LECH,Tamias minimus
Least Flycatcher,LEFL,Empidonax minimus
Least Grebe,LEGR,Tachybaptus dominicus
Least Nighthawk,leanig1,Chordeiles pusillus
Least Pauraque,LEPA,Siphonorhis brewsteri
Least Sandpiper,LESA,Calidris minutilla
Least Seedsnipe,THIRUM,Thinocorus rumicivorus
Least Shrew,CRYPAR,Cryptotis parva
Least Storm-Petrel,LSTP,Hydrobates microsoma
Least Tern,LETE,Sternula antillarum
Least Weasel,LEWE,Mustela nivalis
Lebanon Lizard,PHOLAE,Phoenicolacerta laevis
LeConte's Sparrow,LCSP,Ammospiza leconteii
LeConte's Thrasher,LCTH,Toxostoma lecontei
Lemmiscus Species,3208,Lemmiscus 
Lemmus Species,3214,Lemmus 
Lemon-bellied Flyrobin,lebfly3,Microeca flavigaster
Lemon-browed Flycatcher,lebfly2,Conopias cinchoneti
Lemon-chested Greenlet,lecgre2,Hylophilus thoracicus
Lemon Dove,lemdov2,Columba larvata
Lemon-rumped Warbler,parwar1,Phylloscopus chloronotus
Lemon-spectacled Tanager,LSTA,Chlorothraupis olivacea
Lemon-throated Barbet,letbar1,Eubucco richardsoni
Leopard,PANPAR,Panthera pardus
Leopard Tortoise,STIPAR,Stigmochelys pardalis
Leopardus Species,LEONUL,
Lepus Species,LEPNUL,
Lesser Akialoa,LEAK,Akialoa obscura
Lesser Antillean Bullfinch,LANB,Loxigilla noctis
Lesser Antillean Flycatcher,LAFL,Myiarchus oberi
Lesser Antillean Pewee,LAPE,Contopus latirostris
Lesser Antillean Saltator,LASA,Saltator albicollis
Lesser Antillean Swift,LASW,Chaetura martinica
Lesser Antillean Tanager,LATA,Tangara cucullata
Lesser Bird-of-paradise,lbopar1,Paradisaea minor
Lesser Black-backed Gull,LBBG,Larus fuscus
Lesser Black-backed Gull (fuscus),4595,Larus fuscus fuscus
Lesser Black-backed Gull (graellsii),4596,Larus fuscus graellsii
Lesser Blue-eared Starling,lbesta1,Lamprotornis chloropterus
Lesser Canastero,ASTPYR,Asthenes pyrrholeuca
Lesser Capybara,HYDIST,Hydrochoerus isthmius
Lesser Coucal,lescou1,Centropus bengalensis
Lesser Crested Tern,THABEN,Thalasseus bengalensis
Lesser Cuckoo,lescuc1,Cuculus poliocephalus
Lesser Cuckooshrike,lescus1,Lalage fimbriata
Lesser Elaenia,LEEL,Elaenia chiriquensis
Lesser Fish Eagle,lefeag1,Icthyophaga humilis
Lesser Flamingo,lesfla1,Phoeniconaias minor
Lesser Frigatebird,LEFR,Fregata ariel
Lesser Goldfinch,LEGO,Spinus psaltria
Lesser Grass Finch,lesgrf1,Emberizoides ypiranganus
Lesser Gray Shrike,LANMIN,Lanius minor
Lesser Green Leafbird,leglea1,Chloropsis cyanopogon
Lesser Greenlet,LESG,Pachysylvia decurtata
Lesser Ground-Cuckoo,LEGC,Morococcyx erythropygus
Lesser Ground Robin,legrob1,Amalocichla incerta
Lesser Honeyguide,y00400,Indicator minor
Lesser Hornero,leshor1,Furnarius minor
Lesser Kestrel,FALNAU,Falco naumanni
Lesser Kiskadee,LEKI,Pitangus lictor
Lesser Koa-Finch,LEKF,Rhodacanthis flaviceps
Lesser Kudu,TRAIMB,Tragelaphus imberbis
Lesser Long-nosed Bat,LEPYER,Leptonycteris yerbabuenae
Lesser Masked Weaver,lesmaw1,Ploceus intermedius
Lesser Melampitta,lesmel1,Melampitta lugubris
Lesser Necklaced Laughingthrush,lenlau1,Garrulax monileger
Lesser Nighthawk,LENI,Chordeiles acutipennis
Lesser Noddy,ANOTEN,Anous tenuirostris
Lesser Prairie-Chicken,LEPC,Tympanuchus pallidicinctus
Lesser Racket-tailed Drongo,lrtdro1,Dicrurus remifer
Lesser Redpoll,LERE,Acanthis cabaret
Lesser Rhea,RHEPEN,Rhea pennata
Lesser Roadrunner,LERO,Geococcyx velox
Lesser Scaup,LESC,Aythya affinis
Lesser Shortwing,lessho1,Brachypteryx leucophris
Lesser Shrike-Tyrant,AGRMUR,Agriornis murinus
Lesser Snow Goose White-morph,LSGW,Anser caerulescens caerulescens
Lesser Spotted Eagle,leseag1,Clanga pomarina
Lesser Spotted Woodpecker,leswoo1,Dryobates minor
Lesser Stripe-backed Shrew,SORBED,Sorex bedfordiae
Lesser Striped Swallow,lessts1,Cecropis abyssinica
Lesser Swallow-tailed Swift,LSTS,Panyptila cayennensis
Lesser Swamp Warbler,leswar1,Acrocephalus gracilirostris
Lesser Tropical Ground Squirel,NOTADO,Notocitellus adocetus
Lesser Vasa Parrot,blapar1,Coracopsis nigra
Lesser Violetear,LEVI,Colibri cyanotus
Lesser Wagtail-Tyrant,lewtyr1,Stigmatura napensis
Lesser Whistling Duck,lewduc1,Dendrocygna javanica
Lesser White-fronted Goose,LWFG,Anser erythropus
Lesser Whitethroat,LEWH,Sylvia curruca
Lesser Woodcreeper,leswoo2,Xiphorhynchus fuscus
Lesser Yellow-headed Vulture,LYHV,Cathartes burrovianus
Lesser Yellowlegs,LEYE,Tringa flavipes
Lesser Yellownape,lesyel1,Picus chlorolophus
Lesson's Motmot,LEMO,Momotus lessonii
Lesson's Seedeater,lessee2,Sporophila bouvronides
Lestodelphys Species,LESNUL,
Lettered Aracari,letara1,Pteroglossus inscriptus
Levaillant's Cisticola,tincis1,Cisticola tinniens
Levaillant's Cuckoo,levcuc1,Clamator levaillantii
Levaillant's Woodpecker,levwoo1,Picus vaillantii
Levant Sparrowhawk,ACCBRE,Accipiter brevipes
Lewin's Honeyeater,lewhon1,Meliphaga lewinii
Lewin's Rail,lewrai1,Lewinia pectoralis
Lewis's Woodpecker,LEWO,Melanerpes lewis
Lidth's Jay,lidjay1,Garrulus lidthi
Liechtenstein's Pine Vole,MICLIE,Microtus liechtensteini
Light aircraft,LIAI,
Light Background Noise,LIBA,
Light continuous industrial noise,LINO,
Light-crowned Spinetail,licspi1,Cranioleuca albiceps
Light deterrents,LIDT,
Light-mantled Albatross,LMAL,Phoebetria palpebrata
Light rain,LIRA,
Light traffic,LITF,
Light train,LITN,
Light-vented Bulbul,livbul1,Pycnonotus sinensis
Light watercraft noise,LIWT,
Light wind,LIWI,
Lilac-breasted Roller,librol2,Coracias caudatus
Lilac-crowned Parrot,LCPA,Amazona finschi
Lilac-tailed Parrotlet,litpar2,Touit batavicus
Limestone Leaf Warbler,limlew1,Phylloscopus calciatilis
Limpkin,LIMP,Aramus guarauna
Lincoln's Sparrow,LISP,Melospiza lincolnii
Lineated Barbet,linbar1,Psilopogon lineatus
Lineated Foliage-gleaner,LIFG,Syndactyla subalaris
Lineated Woodpecker,LIWO,Dryocopus lineatus
Line-cheeked Spinetail,licspi5,Cranioleuca antisiensis
Lined Antshrike,linant1,Thamnophilus tenuepunctatus
Lined Forest Falcon,liffal1,Micrastur gilvicollis
Lined Pocket Gopher,CHALIN,Chaetodipus lineatus
Lined Quail-Dove,liqdov1,Zentrygon linearis
Lined Seedeater,LISE,Sporophila lineola
Line-fronted Canastero,lifcan1,Asthenes urubambensis
Linnaeus's Mouse Opossum,MARMUR,Marmosa murina
Lion,PANLEO,Panthera leo
Lissodelphis Species,LISNUL,
Litlle brown bat,MYOCHI,Myotis chiloensis
Litocranius Species,LITNUL,
Little Bee-eater,libeat1,Merops pusillus
Little Bittern,LIBI,Botaurus minutus
Little Bittern (Little),IXOMIN,Ixobrychus minutus minutus
Little Blue Heron,LBHE,Egretta caerulea
Little Bronze Cuckoo,librc,Chalcites minutillus
Little Brown Bat,MYOLUC,Myotis lucifugus
Little brown bat/Long-legged bat,MYOLUCMYOVOL,Myotis lucifugus/volans
Little brown bat/Northern long-eared bat,MYOLUCMYOSEP,
Little Bunting,LIBU,Emberiza pusilla
Little Bustard,TETTET,Tetrax tetrax
Little Chachalaca,varcha1,Ortalis motmot
Little Corella,litcor2,Cacatua sanguinea
Little Cormorant,MICNIG,Microcarbo niger
Little Crake,litcra1,Zapornia parva
Little Cuckoo,LITC,Coccycua minuta
Little Cuckoo-Dove,licdov1,Macropygia ruficeps
Little Curlew,LICU,Numenius minutus
Little Desert Pocket Mouse,CHAARE,Chaetodipus arenarius
Little Earth Hutia,MESSAN,Mesocapromys sanfelipensis
Little Egret,LIEG,Egretta garzetta
Little Friarbird,litfri1,Philemon citreogularis
Little Grassbird,litgra1,Poodytes gramineus
Little Grass Frog,PSEOCU,Pseudacris ocularis
Little Grebe,TACRUF,Tachybaptus ruficollis
Little Greenbul,litgre2,Eurillas virens
Little Green-Pigeon,TREOLA,Treron olax
Little grison,GALCUJ,Galictis cuja
Little Gull,LIGU,Hydrocoloeus minutus
Little Hermit,lither2,Phaethornis longuemareus
Little Lorikeet,PARPUS,Parvipsitta pusilla
Little Nightjar,litnig1,Setopagis parvula
Little Owl,ATHNOC,Athene noctua
Little Penguin,litpen1,Eudyptula minor
Little Pied Flycatcher,lipfly1,Ficedula westermanni
Little Pocket Mouse,PERLON,Perognathus longimembris
Little Raven,litrav1,Corvus mellori
Little Ringed Plover,LRPL,Charadrius dubius
Little Rufous Mouse Opossum,MARLEP,Marmosa lepida
Little Rush Warbler,afbwar1,Bradypterus baboecala
Little Shearwater,LISH,Puffinus assimilis
Little Slaty Flycatcher,lisfly1,Ficedula basilanica
Little Sparrowhawk,litspa1,Tachyspiza minulla
Little Spiderhunter,litspi1,Arachnothera longirostra
Little Stint,LIST,Calidris minuta
Little Swan Island Hutia,GEOTHO,Geocapromys thoracatus
Little Swift,APUAFF,Apus affinis
Little Tern,LITE,Sternula albifrons
Little Thornbird,littho1,Phacellodomus sibilatrix
Little Tinamou,LITI,Crypturellus soui
Little Water Opossum,LUTCRA,Lutreolina crassicaudata
Little Wattlebird,bruwat1,Anthochaera chrysoptera
Little Weaver,litwea1,Ploceus luteolus
Little Whimbrel,LIWH,Numenius minutus
Little Woodpecker,litwoo2,Veniliornis passerinus
Little Woolly Mouse Opossum ,MARPHA,Marmosa phaea
Livingstone's Turaco,livtur1,Tauraco livingstonii
Lizard Buzzard,lizbuz1,Kaupifalco monogrammicus
Lizards and Snakes,4474,
Lodgepole Chipmunk,NEOSPE,Neotamias speciosus
Loggerhead Kingbird,LOKI,Tyrannus caudifasciatus
Loggerhead Shrike,LOSH,Lanius ludovicianus
Loja Tapaculo,SCYAND,Scytalopus androstictus
Lompobattang Leaf Warbler,sulwar3,Phylloscopus sarasinorum
Long-beaked Common Dolphin,DELCAP,Delphinus capensis
Long-billed Bernieria,lobber1,Bernieria madagascariensis
Long-billed Corella,lobcor1,Cacatua tenuirostris
Long-billed Crombec,capcro1,Sylvietta rufescens
Long-billed Crow,lobcro1,Corvus validus
Long-billed Curlew,LBCU,Numenius americanus
Long-billed Dowitcher,LBDO,Limnodromus scolopaceus
Long-billed Forest Warbler,lobtai1,Artisornis moreaui
Long-billed Gnatwren,LBGN,Ramphocaenus melanurus
Long-billed Hermit,LBIH,Phaethornis longirostris
Long-billed Murrelet,LBMU,Brachyramphus perdix
Long-billed Pipit,lobpip1,Anthus similis
Long-billed Plover,lobplo1,Charadrius placidus
Long-billed Starthroat,LBST,Heliomaster longirostris
Long-billed Thrasher,LBTH,Toxostoma longirostre
Long-billed Woodcreeper,lobwoo1,Nasica longirostris
Long-billed Wren,lobwre1,Cantorchilus longirostris
Long-billed Wren-Babbler,lbwbab1,Napothera malacoptila
Long-clawed mole mouse,GEOVAL,Geoxus valdivianus
Long-clawed Shrew,SORUNG,Sorex unguiculatus
Long-crested Eagle,loceag1,Lophaetus occipitalis
Long-crested Pygmy Tyrant,lcptyr1,Lophotriccus eulophotes
Long-eared Chipmunk,3355,Neotamias quadrimaculatus
Long-eared Myotis,MYOEVO,Myotis evotis
Long-eared Myotis / Keen’s myotis / Northern Long-eared Myotis,LEMY,Myotis evotis / keenii / septentrionalis
Long-eared Owl,LEOW,Asio otus
Long-finned Pilot Whale,GLOMEL,Globicephala melas
Long-haired grass mouse,ABRLON,Abrothrix longipilis
Long-legged Buzzard,LLBU,Buteo rufinus
Long-legged Myotis,MYOVOL,Myotis volans
Long-legged Myotis,MACMAC,Macrophyllum Macrophyllum
Long-nosed Leopard Lizard,GAMWIS,Gambelia wislizenii
Long-nosed Short-tailed Opossum,MONSCA,Monodelphis scalops
Long-nosed snake,RHILEC,Rhinocheilus lecontei
Long-tailed Broadbill,lotbro1,Psarisomus dalhousiae
Long-tailed Bush Lizard,UROGRA,Urosaurus graciosus
Long-tailed Bush Warbler,ltbwar1,Locustella caudata
Long-tailed Cinclodes,lotcin1,Cinclodes pabsti
Long-tailed Climbing Mouse,RHIMAS,Rhipidomys mastacalis
Long-tailed Duck,LTDU,Clangula hyemalis
Long-tailed Fiscal,lotfis1,Lanius cabanisi
Long-tailed Glossy Starling,ltgsta1,Lamprotornis caudatus
Long-tailed Goral,NAECAU,Naemorhedus caudatus
Long-tailed Ground Squirrel,UROUND,Urocitellus undulatus
Long-tailed Hawk,UROMAC,Urotriorchis macrourus
Long-tailed Hermit,lother1,Phaethornis superciliosus
Long-tailed Jaeger,LTJA,Stercorarius longicaudus
Long-tailed Koel,lotkoe1,Urodynamis taitensis
Long-tailed Manakin,LOTM,Chiroxiphia linearis
Long-tailed Marmot,3223,Marmota caudata
Long-tailed Meadowlark,LEILOY,Leistes loyca
Long-tailed Minivet,lotmin1,Pericrocotus ethologus
Long-tailed Mockingbird,lotmoc1,Mimus longicaudatus
Long-tailed Myna,lotmyn1,Mino kreffti
Long-tailed Nightjar,lotnig1,Caprimulgus climacurus
Long-tailed Parakeet,lotpar2,Psittacula longicauda
Long-tailed Pocket Mouse,CHAFOR,Chaetodipus formosus
Long-tailed Potoo,lotpot1,Nyctibius aethereus
Long-tailed Reed Finch,ltrfin1,Donacospiza albifrons
Long-tailed Sabrewing,LTSA,Campylopterus excellens
Long-tailed Shrew,SORDIS,Sorex dispar
Long-tailed Shrike,lotshr1,Lanius schach
Long-tailed Sibia,lotsib1,Heterophasia picaoides
Long-tailed Silky-flycatcher,LTSF,Ptiliogonys caudatus
Long-tailed Singing Mouse,SCOXER,Scotinomys xerampelinus
Long-tailed Spiny Rat,PROLON,Proechimys longicaudatus
Long-tailed Sylph,lotsyl1,Aglaiocercus kingii
Long-tailed Tapaculo,lottap1,Scytalopus micropterus
Long-tailed Tit,AEGCAU,Aegithalos caudatus
Long-tailed Tree Rat,MAKMAC,Makalata macrura
Long-tailed Triller,lottri1,Lalage leucopyga
Long-tailed Tyrant,LTTY,Colonia colonus
Long-tailed Vole,MICLON,Microtus longicaudus
Long-tailed Weasel,MUSFRE,Mustela frenata
Long-tailed Widowbird,lotwid1,Euplectes progne
Long-tailed Woodcreeper,LTWO,Deconychura longicauda
Long-tailed Wood-Partridge,LTWP,Dendrortyx macroura
Long-toed Salamander,LOTSA,Ambystoma macrodactylum
Long-toed Stint,LTST,Calidris subminuta
Long-tufted Screech Owl,lotsco1,Megascops sanctaecatarinae
Long-wattled Umbrellabird,lowumb1,Cephalopterus penduliger
Long-whiskered Owlet,lowowl1,Xenoglaux loweryi
Long-winged Antwren,lowant1,Myrmotherula longipennis
Long-winged Harrier,LWHA,Circus buffoni
Lontra Species,LONNUL,
Loten's Sunbird,lobsun2,Cinnyris lotenius
Louisiana Waterthrush,LOWA,Parkesia motacilla
Lovely Cotinga,LOCO,Cotinga amabilis
Lovely Fairywren,MALAMA,Malurus amabilis
Lowland Anoa,BUBDEP,Bubalus depressicornis
Lowland Paca,CPAC,Cuniculus paca
Lowland Tapir,TAPTER,Tapirus terrestris
Lowland White-eye,loweye2,Zosterops meyeni
Lucifer Hummingbird,LUHU,Calothorax lucifer
Lucy's Warbler,LUWA,Leiothlypis luciae
Lühder's Bushshrike,luebus1,Laniarius luehderi
Lulu's Tody-Flycatcher,johtot1,Poecilotriccus luluae
Lunulated Antbird,lunant2,Oneillornis lunulatus
Lusitanian Pine Vole,MICLUS,Microtus lusitanicus
Lutreolina Species,LUTNUL,
Luzon Boobook,phihao1,Ninox philippensis
Lyre-tailed Nightjar,lytnig1,Uropsalis lyra
Macconnell's Climbing Mouse,RHIMAC,Rhipidomys macconnelli
MacGillivray's Warbler,MGWA,Geothlypis tolmiei
Macleay's Honeyeater,machon2,Xanthotis macleayanus
Madagascar Blue Vanga,CYAMAD,Cyanolanius madagascarinus
Madagascar Buzzard,BUTBRA,Buteo brachypterus
Madagascar Cisticola,madcis2,Cisticola cherina
Madagascar Cuckoo,madcuc1,Cuculus rochii
Madagascar Cuckooshrike,CORCIN,Coracina cinerea
Madagascar Flufftail,madflu1,Sarothrura insularis
